"Step","daily-darkness-44 - train/shaping_reward","daily-darkness-44 - train/shaping_reward__MIN","daily-darkness-44 - train/shaping_reward__MAX"
"271440","0.0007875555232121776","0.0007875555232121776","0.0007875555232121776"
"272784","0.0007765954397794542","0.0007765954397794542","0.0007765954397794542"
"277216","0.000949198490007743","0.000949198490007743","0.000949198490007743"
"278144","0.0009473417776908687","0.0009473417776908687","0.0009473417776908687"
"279528","0.0009461619262749358","0.0009461619262749358","0.0009461619262749358"
"283924","0.0009363913610371003","0.0009363913610371003","0.0009363913610371003"
"284876","0.0009236799160005009","0.0009236799160005009","0.0009236799160005009"
"285276","0.0008165481872708118","0.0008165481872708118","0.0008165481872708118"
"290576","0.0007312202574835101","0.0007312202574835101","0.0007312202574835101"
"291552","0.0007396392288728736","0.0007396392288728736","0.0007396392288728736"
"295796","0.0008021546179230657","0.0008021546179230657","0.0008021546179230657"
"298620","0.0007152248333294212","0.0007152248333294212","0.0007152248333294212"
"298800","0.0005244528455717279","0.0005244528455717279","0.0005244528455717279"
"304848","0.0005538128290014253","0.0005538128290014253","0.0005538128290014253"
"305268","0.0005584217285931841","0.0005584217285931841","0.0005584217285931841"
"308416","0.0008023007149291841","0.0008023007149291841","0.0008023007149291841"
"315044","0.0007186454976959495","0.0007186454976959495","0.0007186454976959495"
"315824","0.0007185878743246167","0.0007185878743246167","0.0007185878743246167"
"318068","0.0006547742212176709","0.0006547742212176709","0.0006547742212176709"
"318736","0.000728567304736106","0.000728567304736106","0.000728567304736106"
"322504","0.0007883554709039093","0.0007883554709039093","0.0007883554709039093"
"332004","0.0006731204694646648","0.0006731204694646648","0.0006731204694646648"
"336452","0.000640798548931361","0.000640798548931361","0.000640798548931361"
"338616","0.0003285837821298853","0.0003285837821298853","0.0003285837821298853"
"344508","0.00025947267678927974","0.00025947267678927974","0.00025947267678927974"
"345252","0.00023638868765494235","0.00023638868765494235","0.00023638868765494235"
"349656","0.000506850016269569","0.000506850016269569","0.000506850016269569"
"351084","0.0003528793687409456","0.0003528793687409456","0.0003528793687409456"
"351916","0.00035637403179895476","0.00035637403179895476","0.00035637403179895476"
"355904","0.00028336504558401263","0.00028336504558401263","0.00028336504558401263"
"357644","0.00026606985193307754","0.00026606985193307754","0.00026606985193307754"
