#{"t_start": 1784215543.441835, "env_id": "None"}
r,l,t
357.70946,143,2375.521463
992.482665,407,2380.524382
797.563257,137,2382.328666
365.329486,153,2384.066448
899.36504,258,2391.639048
162.403422,225,2394.339117
703.569183,253,2397.305985
794.795102,303,2400.670497
360.38527,137,2402.61195
1077.00033,507,2409.289734
51.248348,83,2410.819007
470.298018,236,2414.263076
605.198917,104,2415.774848
574.382324,695,2428.27133
267.662046,213,2430.913304
793.938627,324,2434.564378
684.762143,388,2439.117969
-54.328104,23,2439.449669
52.601022,62,2440.245536
797.344534,306,2444.24318
1090.093937,421,2491.98156
592.57054,181,2494.232525
703.777325,297,2497.655173
597.36272,149,2499.808885
603.48284,164,2501.629801
699.156568,255,2505.017163
467.180483,268,2508.310765
700.239796,207,2510.902649
606.223574,121,2512.733008
52.394725,81,2518.893565
788.479684,378,2523.696684
893.516223,396,2528.903932
50.523177,94,2530.370831
978.594489,515,2536.839659
799.193073,357,2541.620049
51.862755,90,2542.69727
692.916983,271,2550.846419
1083.180018,340,2555.139879
154.818483,170,2557.035312
690.40943,302,2561.088427
151.778534,206,2563.797495
703.441798,205,2565.922051
1077.668332,552,2572.576928
996.519776,460,2583.83891
698.078411,336,2588.196273
989.613278,319,2592.292668
-49.938911,93,2593.412461
353.204169,226,2596.149482
799.389157,307,2600.585973
355.515599,473,2606.74778
466.317038,371,2615.915027
699.484187,124,2617.609257
1003.722745,229,2620.133991
783.177966,440,2624.979711
256.979924,148,2627.038803
1101.421691,359,2631.933706
371.707933,264,2634.921778
572.92865,413,2644.943044
358.454783,410,2649.972042
1099.133087,342,2654.826705
54.377984,111,2656.198652
993.074771,329,2660.722193
699.951917,125,2662.250642
896.11173,224,2665.46626
562.076259,365,2674.598976
801.423795,135,2676.361645
1099.377703,432,2681.947036
701.658702,70,2682.858505
904.931385,273,2686.146342
991.15459,356,2690.215932
896.59496,287,2693.840289
1086.83502,480,2704.511686
790.393165,387,2709.639286
154.385432,133,2711.589986
675.940728,381,2716.530251
897.707288,301,2720.312039
801.316386,188,2722.547798
700.957066,152,2724.592407
598.537058,221,2727.309366
687.685807,288,2735.454664
894.02497,164,2737.733871
155.047233,84,2738.827684
995.012598,353,2743.60064
163.867861,145,2745.534518
1104.875368,317,2749.18352
260.717444,196,2751.776268
694.107957,309,2755.694189
887.245446,302,2759.280895
898.368213,231,2766.415643
1085.738279,499,2772.691124
990.063498,369,2777.158205
674.337712,488,2783.217923
797.52766,288,2787.027779
593.329135,188,2827.733427
790.712512,299,2836.655102
1000.735532,336,2840.771193
885.497677,356,2845.630048
701.537751,222,2848.355992
896.743307,235,2851.335585
1087.526323,443,2856.551366
1088.210521,429,2866.648506
-50.943836,92,2867.7942
563.070746,278,2871.564816
896.661317,381,2876.064332
1087.864836,391,2880.755302
698.882318,165,2882.981575
1091.803988,540,2894.394382
355.682805,324,2898.344175
-46.779526,31,2898.76574
698.651957,299,2902.567812
796.038447,310,2906.364171
788.067313,382,2911.592346
871.431117,627,2919.773071
364.595621,364,2929.602753
601.888137,99,2930.718386
604.493898,138,2932.311187
265.563376,168,2934.482459
149.770502,311,2938.889539
890.066068,390,2943.413726
1092.786398,480,2949.194124
898.10229,256,2957.284662
269.34621,268,2960.728989
993.328763,236,2963.688865
1092.107174,450,2969.65798
797.01598,248,2972.781929
694.382833,158,2974.598317
-49.787886,11,2974.722486
605.824535,160,2976.649275
701.213211,185,2978.992583
260.596516,76,2980.086007
601.624071,201,2987.233428
1001.690924,383,2992.30569
699.998156,151,2994.197872
260.159893,286,2997.974019
1085.613837,447,3003.324358
882.214363,432,3008.434586
587.128085,371,3017.824076
252.96989,141,3019.512739
689.320761,434,3024.608383
900.969678,316,3028.36032
785.770528,377,3032.891283
703.721077,183,3035.171861
600.663794,171,3037.222487
366.257119,318,3041.026524
798.061782,217,3047.790123
1094.492855,313,3051.396493
698.665561,192,3053.649555
698.385727,236,3055.996219
695.076298,255,3058.677223
59.535233,90,3059.489434
877.066113,548,3066.467909
601.363475,63,3067.155644
890.014896,339,3076.07667
165.38548,210,3078.781001
801.822244,301,3082.140345
693.568593,218,3084.803732
598.85507,62,3085.773247
467.504145,231,3088.513649
559.010259,452,3093.782882
702.031445,150,3095.507463
47.778001,127,3096.839255
1072.605095,658,3109.070354
798.899969,316,3112.511072
602.459271,123,3114.07499
592.355737,293,3117.729705
899.945654,396,3159.995145
792.855912,302,3163.389873
594.941297,348,3171.610871
-49.526266,21,3171.844313
890.954933,331,3175.404023
987.507424,544,3181.929239
995.175261,323,3185.973875
604.945478,266,3188.791497
595.419034,182,3191.157949
361.738547,181,3197.823199
595.908874,167,3200.001935
985.279356,500,3205.779047
990.933927,347,3209.691547
697.770644,290,3213.207427
1086.640152,438,3218.683311
701.656877,173,3220.965853
1083.529622,517,3232.935277
-49.05547,13,3233.074041
600.010726,179,3235.024713
1084.913993,490,3240.530963
-49.320375,15,3240.670504
1002.102133,319,3244.01644
884.445334,452,3249.505105
987.64024,404,3257.952374
253.987743,377,3262.490297
456.620973,405,3267.099399
976.501178,619,3274.172805
890.093562,298,3277.392269
981.195984,608,3289.419717
688.965195,362,3294.236807
998.286146,326,3297.884961
149.331267,211,3300.52188
691.153829,332,3304.539362
1090.067703,388,3313.672396
1059.115366,775,3339.06461
691.203906,235,3344.424814
601.209817,191,3346.73862
600.28591,107,3348.085044
895.347136,391,3352.583776
-46.443521,47,3353.178513
980.039699,443,3362.97013
471.582177,162,3364.790141
597.707584,141,3366.515855
701.714814,287,3370.064951
694.011175,181,3372.285403
564.540145,433,3377.504879
701.99483,232,3380.550037
977.444756,465,3390.53947
702.05158,169,3392.768003
898.154368,237,3395.634542
-50.280448,131,3397.043782
699.429901,197,3399.240492
151.328225,164,3401.439956
-96.764724,1363,3422.230634
683.594342,406,3427.200266
158.764297,103,3428.379001
1002.313271,228,3431.451561
796.376852,365,3436.287446
995.15611,271,3439.856125
159.224401,340,3444.174935
792.937847,410,3454.0268
1095.370485,396,3458.646615
797.783088,380,3502.903702
793.852906,329,3506.873006
788.120047,497,3514.022018
900.299121,317,3522.950845
888.31231,338,3527.215046
-47.380719,20,3527.514269
148.346116,197,3530.410584
804.71966,257,3533.932809
987.916157,388,3538.771701
466.607604,356,3543.536748
798.877887,144,3545.457613
896.621508,231,3553.89191
1087.468452,590,3561.332805
978.175056,602,3568.604507
256.391058,143,3570.298642
1081.501038,593,3581.856587
1087.695475,401,3587.054472
253.70977,172,3589.122214
601.639967,121,3590.777093
696.381971,222,3593.587695
49.795052,98,3594.908468
153.653302,233,3597.654805
687.345975,250,3600.503212
1062.772263,851,3617.254168
600.609428,39,3617.75765
148.974056,107,3618.926234
259.576224,191,3621.199701
802.317568,265,3624.897308
796.335832,194,3627.808401
903.03887,194,3630.440569
879.519554,516,3637.673909
797.377078,218,3640.40545
797.185405,240,3649.03915
257.121856,196,3651.507318
596.708159,203,3653.717049
